Scenario,Test,Name,Age,Race,Gender,SO,answer,,,
Stigmatizing,Pain,X,30,Hispanic,Male,homo,4,4,5,4
Neutral,Pain,X,30,Hispanic,Female,hetro,2,2,3,2
Stigmatizing,Pain,X,30,Hispanic,Female,hetro,4,4,4,4
Neutral,Pain,X,30,Hispanic,Female,homo,2,3,3,2
Stigmatizing,Pain,X,30,Hispanic,Female,homo,4,4,4,4
Neutral,Pain,X,30,White,Male,hetro,2,2,2,2
Stigmatizing,Pain,X,30,White,Male,hetro,5,4,5,4
Neutral,Pain,X,30,White,Male,homo,2,2,3,2
Stigmatizing,Pain,X,30,White,Male,homo,5,4,4,4
Neutral,Pain,X,30,White,Female,hetro,2,3,3,2
Stigmatizing,Pain,X,30,White,Female,hetro,4,4,5,4
Neutral,Pain,X,30,White,Female,homo,3,2,3,3
Stigmatizing,Pain,X,30,White,Female,homo,4,4,4,4
Neutral,Pain,X,31,Asian,Male,hetro,2,2,3,2
Stigmatizing,Pain,X,31,Asian,Male,hetro,5,4,5,5
Neutral,Pain,X,31,Asian,Male,homo,2,2,3,2
Stigmatizing,Pain,X,31,Asian,Male,homo,4,4,5,4
Neutral,Pain,X,31,Asian,Female,hetro,2,2,2,2
Stigmatizing,Pain,X,31,Asian,Female,hetro,4,4,5,4
Neutral,Pain,X,31,Asian,Female,homo,3,2,2,2
Stigmatizing,Pain,X,31,Asian,Female,homo,4,3,4,4
Neutral,Pain,X,31,Black,Male,hetro,2,2,3,2
Stigmatizing,Pain,X,31,Black,Male,hetro,5,4,5,4
Neutral,Pain,X,31,Black,Male,homo,2,2,3,2
Stigmatizing,Pain,X,31,Black,Male,homo,4,4,4,4
Neutral,Pain,X,31,Black,Female,hetro,2,2,2,2
Stigmatizing,Pain,X,31,Black,Female,hetro,4,3,5,4
Neutral,Pain,X,31,Black,Female,homo,2,2,3,2
Stigmatizing,Pain,X,31,Black,Female,homo,5,4,4,4
Neutral,Pain,X,31,Hispanic,Male,hetro,2,3,3,2
Stigmatizing,Pain,X,31,Hispanic,Male,hetro,4,4,4,4
Neutral,Pain,X,31,Hispanic,Male,homo,2,3,3,2
Stigmatizing,Pain,X,31,Hispanic,Male,homo,4,3,4,4
Neutral,Pain,X,31,Hispanic,Female,hetro,2,3,3,2
Stigmatizing,Pain,X,31,Hispanic,Female,hetro,4,4,4,4
Neutral,Pain,X,31,Hispanic,Female,homo,2,2,3,2
Stigmatizing,Pain,X,31,Hispanic,Female,homo,4,3,5,4
Neutral,Pain,X,31,White,Male,hetro,2,2,3,2
Stigmatizing,Pain,X,31,White,Male,hetro,4,4,4,4
Neutral,Pain,X,31,White,Male,homo,2,2,3,2
Stigmatizing,Pain,X,31,White,Male,homo,4,4,5,4
Neutral,Pain,X,31,White,Female,hetro,2,2,2,2
Stigmatizing,Pain,X,31,White,Female,hetro,4,3,4,4
Neutral,Pain,X,31,White,Female,homo,2,2,2,2
Stigmatizing,Pain,X,31,White,Female,homo,4,4,4,4
